TIME,LABEL
25.045333333,"9.0, Horn on beat acc"
34.645333333,"13.0, Harp on beat acc"
53.546666667,"21.0, no bass in downbeat acc"
62.560000000,"25.0, no bass in downbeat acc"
72.053333333,"29.0, no bass in downbeat acct"
81.152000000,"33.0, no bass, Winds on beat acc"
90.197333333,"37.0, Winds + cello solo on beat acc"
99.370666667,"41.0, Los stings on beat acc"
113.322666667,"47.25, Trumpet call"
114.858666667,"48.0, Bass on beat acc (entry 1m earlier)"
125.365333333,"53.0, Bass on beat acc"
133.802666667,"57.0, Bass on beat acc"
142.250666667,"61.0, Bass on beat acc sf"
147.157333333,"63.25, Trumpet call (cue for basses)"
150.741333333,"65.0, Basses and Cello on Melody"
152.800000000,"66.0, Basses join Cello on eighths"
154.880000000,"67.0, Basses back to down beat acc"
167.317333333,"73.0, no bass downbeat acc"
182.357333333,"80.125, Trumpet Call"
183.637333333,"80.75, Tutti Strings Melody (eighths)"
192.469333333,"85.0, On beat acc sff"
200.192000000,"88.75, Tutti Strings Melody"
208.661333333,"92.75, Basses on beat acc (no rest)"
217.514666667,"97.0, Low brass and winds alternate (no rest)"
220.032000000,"98.25, Low brass rest"
225.706666667,"101.0, Basses descending eighths"
234.069333333,105.0 Tutti chorus (no rest)
235.477333333,"105.75, sneak breath on dotted quarter"
241.450666667,"108.75, Basses chorus (no rest)"
249.898666667,"113.0, Music over (big breath time)"
