S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
1.019501134,0.0,Intro,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019501134000000000,0.019501134000000000,0.019501134000000000,-0.0039002265442178000,-0.0039002265442178000
2.53968254,,,a,1.25,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,1.5396825400000000,1.7268934243537400,1.5396825400000000,1.4928798189115600,1.4928798189115600
9.204535147,,,,2.5,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,8.204535147,8.181133786455780,7.572698412306120,6.917460317068030,6.543038548360540
12.07873016,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,11.07873016,10.47029478585030,9.885260772244900,9.300226758639450,9.230022677006800
13.6707483,,,a,3.25,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,12.6707483,12.03891156530610,11.407074830612200,10.634829932653100,10.822040817006800
21.46104308,,,,4.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,20.46104308,19.197369610612200,18.2145124677551,17.559274372517000,16.857233556190500
24.02539683,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,23.02539683,21.036281183741500,20.622857142857100,19.187573700748300,18.961360544217700
25.58984127,,,a,5.25,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,24.58984127,22.390113378843500,22.039092970680300,20.494603174761900,20.45904761904760
28.36462585,,,b,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.36462585,24.954285713945600,24.673469387415000,23.17578231258500,22.56734693843540
29.85142857,,,,6.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,28.85142857,26.441088433945600,26.16027210741500,24.568979590408200,23.398911563197300
