S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
1.019501134,0.019501134,0.019501134,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019501134,-0.0039002265442177700,-0.0039002265442177700
2.53968254,1.53968254,1.7268934243537400,1.25,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,1.53968254,1.4928798189115600,1.4928798189115600
9.204535147,8.204535147,8.181133786455780,2.5,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,7.572698412306120,6.917460317068030,6.543038548360540
12.078730159,11.078730159,10.47029478485030,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9.885260771244900,9.300226757639450,9.230022676006800
13.670748299,12.670748299,12.03891156430610,3.25,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,11.407074829612200,10.634829931653100,10.822040816006800
21.461043084,20.461043084,19.197369614612200,4.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,18.2145124717551,17.559274376517000,16.857233560190500
24.025396825,23.025396825,21.036281178741500,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,20.622857142857100,19.1875736957483,18.961360544217700
25.58984127,24.58984127,22.390113378843500,5.25,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,22.039092970680300,20.494603174761900,20.45904761904760
28.36462585,27.36462585,24.954285713945600,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.673469387415000,23.17578231258500,22.56734693843540
29.851428571,28.851428571,26.441088434945600,6.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,26.16027210841500,24.568979591408200,23.398911564197300
33.711746032,32.711746032,30.301405895945600,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,29.833378685061200,28.429297052408200,27.25922902519730
35.281269841,34.281269841,31.870929704945600,7.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,31.40290249406120,29.998820861408200,28.828752834197300
39.002267574,38.002267574,35.73233560121090,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,35.10049886651700,33.71981859440820,32.54975056719730
49.052154195,48.052154195,45.96943310656460,9.75,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,44.448344671190500,43.88671201812930,41.35936507935370
50.364081633,49.364081633,47.32816326565310,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,45.69006802755780,45.19863945612920,42.55428571463270
63.038548753,62.038548753,60.42385487544900,12.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,58.22412698429250,58.15392290265990,54.667120181571400
68.45968254,67.45968254,65.28335600938780,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,63.6218594107483,63.57505668965990,59.17560090734700
70.084353741,69.084353741,66.81442176821090,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,65.19972789065990,64.82530612195240,60.58965986344900
72.555102041,71.555102041,69.0511564627687,14.5,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,67.36625850358500,66.99183673487760,62.10095238113610
84.114285714,83.114285714,80.23591836706120,16.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78.99564625821770,78.05959183644900,72.34965986365990
97.66893424,96.66893424,93.43954648489800,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,92.08226757333330,90.37396825360540,83.70458049850340
103.725714286,102.725714286,99.44952380980950,20.5,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,98.02204081661220,96.40734693906120,88.9891156465442
110.976870748,109.976870748,106.70068027181000,21.75,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,105.27319727861200,103.19047619017700,95.39020408163270
