C5,mm,mm_original,RehNo,Structure,Theme,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass
-0.328645833,0.5,50.33,5.00,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.813333333,0.75,50.67,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
4.778666667,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.413333333,2,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.41333333,4.75,54.75,,,e,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,
15.29,5,55.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
17.51,6,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
24.364,8.75,58.75,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,,
25.03266667,9,59.00,6.00,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,0
32.642,12.13,62.13,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
34.1,12.75,62.75,,,e,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,,,
34.67533333,13,63.00,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
37.13,14,64.00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
43.43133333,16.75,66.75,,T2,f,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,1,,,
44.05333333,17,67.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.20333333,17.5,67.50,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,
60.23,24,74.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
61.94533333,24.75,74.75,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
62.54133333,25,75.00,8.00,,,,,,,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,
69.56,28,78.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
70.10266667,28.25,78.25,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
71.26066667,28.75,78.75,,,e,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,,,
71.918,29,79.00,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,
80.52933333,32.75,82.75,,T2,f,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
81.20066667,33,83.00,9.00,,,,,,,,1,,1,,,,0,,,,,,,,,,,,,,,,,,,,
81.77533333,33.25,83.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
89.65066667,36.75,86.75,,,f,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.22,37,87.00,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,
98.784,40.75,90.75,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.40066667,41,91.00,10.00,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,
101.6166667,42,92.00,,,,,,,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,0,0,0,0,
103.834,43,93.00,,,,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,
106.1453333,44,94.00,,,,,,,,,0,0,1,1,1,,,,,,,,,,,,,,,,,,0,0,0,0,
107.8493333,44.75,94.75,,,e,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
108.4226667,45,95.00,,,,,1,1,,,,,0,0,0,,,,,,,,,,,1,,,0,,,,,,1,1,
112.7093333,47,97.00,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.3066667,47.25,97.25,,,a,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
114.9006667,48,98.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
116.0173333,48.5,98.50,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
116.5093333,48.75,98.75,,T2,f,,0,,,,0,,1,,,,,,,,,,,,,,,,,,,,1,1,,,
117.0326667,49,99.00,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
124.812,52.75,102.75,,,f,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,0,0,,,
133.336,56.75,106.75,,T1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.8053333,57,107.00,12.00,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,1,,,,,
134.1253333,57.125,107.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
141.792,60.75,110.75,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.636,62.125,112.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
147.1306667,63.25,113.25,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
149.156,64.25,114.25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
149.7253333,64.5,114.50,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
150.2853333,64.75,114.75,,T2,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.752,65,115.00,13.00,,,,,,,,0,0,1,,,,1,,,,,,,,,,,,,,,,,,,,
151.032,65.125,115.13,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,0,,,0
152.8353333,66,116.00,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,1,,,1
153.1213333,66.125,116.13,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,0,,,,,,
154.8933333,67,117.00,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,1,,,,,,
155.1493333,67.125,117.13,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,,
156.9073333,68,118.00,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,
157.876,68.5,118.50,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
158.4846667,68.75,118.75,,,f,,,,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
158.9253333,69,119.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
161.072,70,120.00,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.6126667,70.25,120.25,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
163.042,71,121.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
165.1386667,72,122.00,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.1826667,72.5,122.50,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.7033333,72.75,122.75,,T1,b,,,,0,0,,,,,1,1,1,1,,,,,,,,,,,0,,,,,,,,
167.2346667,73,123.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.4713333,73.125,123.13,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
169.578,74.125,124.13,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
170.6646667,74.75,124.75,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,
171.6446667,75.125,125.13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
173.5466667,76,126.00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
173.8466667,76.125,126.13,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
175.0746667,76.75,126.75,,,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.956,79.5,129.50,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.3366667,80.125,130.13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
183.6486667,80.75,130.75,,T2,f,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,
184.1653333,81,131.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.4906667,82.125,132.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
186.7433333,82.25,132.25,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
187.696,82.75,132.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
190.6173333,84.125,134.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
190.8786667,84.25,134.25,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
191.9173333,84.75,134.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
192.4706667,85,135.00,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
192.7433333,85.125,135.13,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,
194.5293333,86,136.00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
194.7533333,86.125,136.13,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
195.0633333,86.25,136.25,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,,,,,,
196.074,86.75,136.75,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
196.618,87,137.00,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
196.8513333,87.125,137.13,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
199.3773333,88.375,138.38,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
