,AU811,AU808,AU802,AU807,AU804,AU809,AU810,AU806,AU803,AU819,AU814,AU816,AU813,AU818,AU815,AU812,AU817,AU820
-15.0,493.0,342.1538461538461,599.4615384615386,510.3589743589743,474.0,558.4615384615386,501.46153846153857,491.1794871794872,502.0,482.05128205128204,481.0,500.0,498.0,509.92307692307685,501.0,534.4102564102562,509.8205128205128,477.46153846153845
-14.96,493.0,345.2307692307691,601.5128205128204,509.33333333333337,474.0,549.2307692307695,503.5128205128205,492.2051282051282,502.0,484.10256410256403,481.0,500.0,498.0,511.9743589743589,501.0,542.6153846153843,510.8461538461538,478.48717948717945
-14.92,493.0,348.30769230769226,602.1538461538462,509.0,474.8461538461538,540.2249999999999,505.56410256410254,493.0,502.0,486.075,480.2307692307692,500.0,498.94871794871796,514.0,501.0,550.8205128205127,512.7435897435897,479.0
-14.88,493.0,351.3846153846153,598.4615384615386,509.0,475.87179487179486,534.0,507.6153846153845,493.0,502.0,487.1538461538461,479.20512820512823,500.0,499.0,516.5384615384615,501.0,558.8974358974357,513.8974358974359,480.07692307692304
-14.84,492.64102564102564,354.45,592.6666666666666,509.0,476.0,526.8717948717949,509.6666666666667,493.2564102564103,502.0,489.2051282051282,478.1794871794872,499.1282051282051,500.0,519.6153846153846,501.6666666666667,565.7692307692308,514.9230769230769,481.5641025641026
-14.8,492.38461538461536,357.46153846153834,585.1282051282052,508.2564102564103,476.9230769230769,521.7948717948719,511.7179487179487,494.0,502.0,491.3846153846153,478.0,498.10256410256414,501.07692307692304,523.2564102564102,502.0,571.076923076923,515.9487179487179,483.1794871794872
-14.76,493.0,360.5384615384615,576.9230769230768,508.0,477.925,517.6923076923076,513.3846153846154,494.0,502.0,494.76923076923083,478.0,498.0,504.05128205128204,527.3589743589744,502.7368421052632,576.8000000000001,517.9,485.84615384615387
-14.72,492.5641025641026,363.6153846153845,568.7179487179488,507.20512820512823,479.89743589743586,513.8974358974359,514.8205128205128,494.0,502.0,499.89743589743586,478.0,498.0,505.0769230769231,531.4615384615383,503.0,580.6153846153845,518.0,488.9736842105263
-14.68,492.4615384615385,366.69230769230774,560.948717948718,507.0,480.0,512.8717948717948,516.0,494.0,502.0,505.4358974358975,477.0769230769231,497.025641025641,506.1025641025641,534.923076923077,503.7692307692308,583.4615384615385,518.0,492.0769230769231
-14.64,493.48717948717945,370.025641025641,553.3076923076925,506.1538461538462,482.0,512.3076923076923,516.0,494.0,502.0,512.6578947368419,477.94871794871796,497.0,507.0,538.0,504.79487179487177,584.7435897435897,518.0,496.4999999999999
-14.6,493.4871794871795,373.5641025641026,545.1025641025641,505.1282051282051,482.02564102564105,514.8974358974359,515.5128205128206,494.0,502.0,520.5384615384617,478.0,497.0,507.1538461538462,539.6923076923077,505.8205128205128,583.1538461538461,517.9487179487179,500.8717948717949
-14.56,493.5384615384615,376.2307692307691,536.8974358974359,505.0,483.05128205128204,520.0256410256409,514.4871794871794,494.0,502.0,529.6999999999997,478.0,496.95000000000005,508.35897435897436,540.0,507.6923076923077,579.4615384615386,516.9230769230769,504.974358974359
-14.52,494.5641025641026,379.6666666666667,528.6923076923075,504.0769230769231,484.0,525.6153846153846,513.475,494.0,502.0,539.0769230769232,477.02564102564105,496.0,510.20512820512823,539.2564102564103,509.7435897435898,574.0,515.8974358974359,507.53846153846155
-14.48,495.0,382.07692307692304,520.4871794871796,504.0,484.2051282051282,532.5384615384615,511.92307692307696,494.0,502.28205128205127,549.6666666666666,477.95000000000005,496.0,511.46153846153845,537.4615384615385,511.7948717948718,567.4871794871796,514.7435897435898,510.3846153846153
-14.44,495.61538461538464,384.76923076923083,512.4,503.025641025641,486.12820512820514,538.4102564102566,510.4358974358974,494.0,503.0,560.9487179487181,477.0,496.10256410256414,513.2564102564103,534.6153846153845,513.8461538461538,559.9230769230768,513.0,512.6410256410256
-14.4,496.0,387.2307692307692,504.8717948717949,503.0,487.3076923076923,542.6153846153846,508.8205128205128,494.5384615384615,503.3076923076923,571.7499999999998,477.0,497.0,514.0,532.3589743589744,515.85,552.1282051282051,512.6410256410256,516.3846153846154
-14.36,496.0,389.8717948717949,497.6923076923075,502.97435897435895,489.1794871794872,544.3333333333334,507.38461538461536,495.0,504.3333333333333,582.2307692307694,477.10256410256414,497.1538461538462,514.3000000000001,529.4615384615385,517.8974358974359,544.5128205128204,510.79487179487177,520.4
-14.32,496.0,392.3846153846153,491.15384615384625,502.0,490.2051282051282,544.3000000000001,505.71794871794873,495.0,505.35897435897436,593.6315789473684,478.1282051282051,497.8205128205128,514.6923076923077,526.3846153846155,519.948717948718,536.769230769231,509.7692307692308,524.4871794871794
-14.28,496.0,394.974358974359,486.3333333333333,502.0,491.2307692307692,541.9230769230768,504.3333333333333,495.0,506.76923076923083,604.95,479.1538461538462,497.20512820512823,513.6666666666666,523.3749999999999,522.0,529.5897435897435,508.7435897435897,527.6923076923077
-14.24,496.71794871794873,397.025641025641,481.5384615384616,502.0,492.2564102564103,538.0769230769231,502.61538461538464,495.0,508.8205128205128,615.153846153846,480.35897435897436,498.0,512.2820512820513,520.3076923076923,524.051282051282,522.923076923077,507.71794871794873,529.8461538461538
-14.2,496.2564102564103,399.05,477.8461538461538,502.0,493.2820512820513,532.9487179487179,501.28205128205127,495.0,510.43589743589746,624.3846153846155,482.41025641025647,498.0,510.6153846153846,518.1538461538462,526.1052631578948,517.3076923076922,507.0,531.8974358974359
-14.16,496.0,400.5384615384615,474.7692307692308,502.0,494.6,527.8205128205128,500.2564102564103,495.6666666666667,512.3846153846154,632.5897435897435,484.4615384615385,497.71794871794873,509.1794871794872,515.1538461538462,528.0,511.6153846153845,506.35,532.974358974359
-14.12,496.0,402.12820512820514,471.69230769230757,502.0,496.61538461538464,521.7692307692306,500.0,496.0,514.974358974359,637.0769230769231,486.7692307692309,497.0,507.1282051282051,513.051282051282,527.875,506.69999999999993,505.0,532.0
-14.08,496.8205128205128,403.5897435897436,469.41025641025647,502.1794871794872,498.6666666666667,515.5641025641025,499.20512820512823,496.71794871794873,517.5384615384615,637.4358974358975,489.8461538461538,497.0,505.53846153846155,512.0,526.8717948717948,502.05128205128204,504.64102564102564,528.948717948718
-14.04,496.15384615384613,404.61538461538464,467.35897435897436,503.0,500.7179487179488,510.43589743589723,498.1794871794872,496.2564102564102,520.0769230769231,633.4615384615383,492.92307692307696,496.64102564102564,504.025641025641,509.97435897435895,525.6923076923076,497.53846153846143,504.0,526.8461538461538
-14.0,496.0,405.0,466.1538461538462,503.2307692307692,503.1538461538462,505.84615384615387,498.0,496.0,522.6923076923077,625.9473684210526,496.3333333333333,496.0,502.4871794871795,508.94871794871796,523.6410256410256,493.4358974358974,504.0,523.6923076923076
-13.96,496.0,405.66666666666663,465.12820512820514,504.2564102564102,506.23076923076917,501.7435897435899,498.0,496.79487179487177,525.7692307692307,615.0000000000003,500.7948717948717,495.5897435897436,500.92307692307696,507.92307692307696,521.3846153846155,489.3333333333334,504.0,519.6923076923077
-13.92,496.0,406.6923076923077,465.0,505.0,509.30769230769226,498.2307692307692,498.0,497.8205128205128,528.2307692307693,602.225,505.923076923077,494.575,499.4358974358974,506.8974358974359,518.5384615384615,485.92307692307696,504.0,516.6153846153845
-13.879999999999999,496.94871794871796,407.71794871794873,465.0,505.0,512.8461538461539,494.53846153846143,498.0,498.84615384615387,530.2820512820513,588.9999999999995,511.0512820512822,493.56410256410254,497.82051282051276,506.0,516.4871794871794,482.1282051282051,504.0,513.5384615384615
-13.84,497.0,409.4871794871795,465.0,505.3333333333333,515.974358974359,491.7179487179487,498.0,500.7435897435898,531.6666666666666,574.9487179487177,516.125,493.0,496.38461538461536,505.8461538461538,514.1538461538461,478.7692307692308,504.0,510.4615384615385
-13.8,499.0,410.0,465.0,506.0,518.5384615384615,489.0,498.0,502.7948717948717,531.325,561.3333333333337,521.1794871794872,492.51282051282055,495.35897435897436,505.0,511.70000000000005,475.69230769230774,504.0,507.40000000000003
-13.76,500.025641025641,411.58974358974365,465.0,506.0,522.1538461538463,486.61538461538464,498.0,504.8461538461538,530.3076923076923,547.5,526.3076923076924,492.0,494.3333333333333,504.79487179487177,510.38461538461536,472.6153846153845,504.0,504.58974358974353
-13.72,501.10256410256403,412.8205128205128,466.0,506.0,525.6923076923076,484.5641025641026,498.0,507.8461538461538,529.2820512820513,534.769230769231,531.4358974358973,491.4615384615385,494.0,504.0,508.3333333333333,469.5384615384616,504.5897435897436,502.5384615384616
-13.68,503.15000000000003,414.6923076923077,466.025641025641,506.0,529.3589743589744,482.54999999999995,498.0,510.92307692307696,527.5128205128206,524.0512820512819,536.051282051282,491.0,494.0,503.75,506.64102564102564,468.1538461538462,505.0,500.2307692307692
-13.64,505.15384615384613,415.87179487179486,467.0,505.55,533.4615384615383,481.2564102564103,498.0,516.0,525.4615384615385,513.794871794872,539.6153846153845,491.0,493.2820512820513,503.0,505.2307692307693,466.2564102564103,504.35897435897436,497.43589743589746
-13.6,507.1025641025641,416.8974358974359,467.0,505.0,537.5641025641027,480.2307692307692,498.0769230769231,520.0,522.6153846153845,505.2307692307693,542.1282051282052,491.0,493.0,503.28205128205127,503.5897435897436,465.1025641025641,504.6666666666667,495.38461538461536
-13.56,508.2564102564102,418.79999999999995,467.1025641025641,504.51282051282055,541.0,479.20512820512823,498.8974358974359,524.1025641025641,520.3589743589744,497.0256410256412,544.1794871794872,491.64102564102564,493.0,504.30769230769226,503.0,464.0769230769231,504.3076923076923,493.3333333333333
-13.52,510.3076923076923,419.9230769230769,468.0,504.5128205128205,544.025,478.1794871794872,498.12820512820514,528.2051282051283,517.4615384615385,491.51282051282044,545.0,492.0,493.0,504.6666666666667,502.5384615384615,464.94871794871796,504.0,491.64102564102564
-13.48,512.3589743589744,420.94871794871796,468.15384615384613,504.4615384615385,547.076923076923,476.3076923076923,498.84615384615387,532.1538461538462,515.2564102564103,485.4615384615385,544.3589743589744,493.38461538461536,493.0,504.0,501.5128205128205,465.0,504.0,490.2307692307693
-13.44,514.6153846153846,422.94871794871796,469.0,504.0,549.4358974358975,475.1282051282051,498.35897435897436,534.3076923076924,513.2051282051282,481.2051282051281,542.6666666666666,494.0,493.0,504.0,501.0,465.974358974359,504.0,488.1794871794872
-13.4,517.4615384615385,424.0,469.2051282051282,504.0,551.4871794871794,474.1025641025641,499.7948717948718,537.2564102564102,511.1538461538462,478.07692307692315,540.6153846153846,494.7435897435897,493.0,504.0,500.4615384615385,466.0,504.7692307692308,487.0
-13.36,519.7692307692307,425.02564102564105,470.2307692307692,504.0,555.0769230769232,473.0769230769231,499.0,539.1538461538462,509.10256410256403,475.0,537.8461538461538,495.76923076923083,493.8974358974359,504.0,500.0,467.02564102564105,505.0,486.5384615384615
-13.32,522.5641025641025,426.05128205128204,471.0,504.64102564102564,558.3846153846154,473.0,499.0,540.0,507.05128205128204,471.92307692307696,534.7692307692307,496.79487179487177,495.8461538461538,503.53846153846155,500.0,468.05128205128204,505.0,485.5128205128205
-13.28,524.6153846153846,427.0769230769231,471.2820512820513,505.0,562.2820512820513,472.025641025641,499.55,540.0,505.0,468.8461538461538,531.6923076923076,498.6,499.7948717948719,503.0,500.0,469.1538461538462,506.6923076923077,484.48717948717945
-13.24,526.6666666666666,428.2051282051282,472.3076923076923,505.6923076923077,567.2307692307692,472.0,501.0,539.7692307692307,503.974358974359,465.8461538461538,528.6153846153846,499.8205128205128,503.89743589743597,503.0,499.35897435897436,471.1025641025641,507.87179487179486,484.0
-13.2,528.7179487179487,430.12820512820514,473.325,506.71794871794873,571.4871794871796,472.0,501.3076923076923,538.7435897435897,502.95,463.7948717948717,523.9999999999999,500.84615384615387,511.0,503.0,499.0,472.12820512820514,508.0,483.4358974358974
-13.16,530.7692307692307,431.3076923076923,474.0,507.7435897435897,573.7948717948718,472.0,502.3333333333333,537.4358974358975,501.94871794871796,461.875,520.5384615384615,501.87179487179486,517.1538461538461,503.0,499.0,473.3076923076923,508.9230769230769,483.0
-13.120000000000001,532.4102564102564,433.1794871794872,474.7179487179487,508.7692307692308,577.6923076923076,472.07692307692304,503.7179487179487,535.3846153846155,501.0,460.7435897435898,516.6153846153846,502.89743589743586,523.3499999999998,502.41025641025647,499.0,475.1794871794872,509.0,483.0
-13.08,533.4358974358975,434.6153846153845,476.38461538461536,509.79487179487177,578.9487179487179,473.0,505.7692307692308,533.3333333333334,500.8974358974359,458.8461538461538,512.5128205128206,503.9230769230769,530.3076923076924,502.0,499.0,476.41025641025635,509.0,482.3846153846154
-13.04,534.0,437.4615384615385,477.0,510.8205128205128,580.948717948718,473.2051282051283,507.8205128205128,531.2820512820513,499.87179487179486,458.0,509.30769230769226,504.0,536.4615384615385,502.0,499.0,478.0,509.0,482.64102564102564
-13.0,534.0,439.5128205128205,477.4358974358974,511.0,582.0,475.2564102564103,510.30769230769226,528.875,499.0,458.0,505.3076923076923,504.974358974359,542.5128205128204,502.64102564102564,499.0,478.2564102564103,508.974358974359,482.3333333333333
-12.96,533.5128205128206,442.0999999999999,478.46153846153845,511.8461538461538,582.974358974359,477.46153846153834,513.3846153846154,525.8461538461539,499.0,458.0,502.1538461538462,505.0,547.5128205128204,502.33333333333337,499.0,479.28205128205127,508.0,482.6923076923077
-12.92,531.4615384615385,445.8461538461538,479.4871794871795,512.0,581.8499999999999,480.7179487179487,516.948717948718,522.7692307692307,498.79487179487177,458.0,499.07692307692304,506.0,551.6153846153846,502.0,499.8205128205128,480.3076923076923,507.925,482.28205128205127
