,Resp_wave,ACCVert,ACCLat,ACCLong,Jerk
-15.0,483.6453051282036,-843.8331000000422,-372.6251749999683,251.83310000004226,9.110727485599599
-14.96,484.0,-845.1668999999032,-365.3337999998065,254.62482500007258,9.067647686329154
-14.92,484.0,-849.8331000000832,-367.1668999999169,256.70792500014545,9.047475227608567
-14.88,484.7203810741687,-843.0668999999448,-372.1329250000966,254.0,9.21538033410377
-14.84,485.0,-846.0,-367.1337999999074,261.0,9.56862288294824
-14.8,485.0,-849.0668999999608,-368.6329250000686,260.0668999999608,9.837862700577988
-14.76,485.79658717948536,-846.0,-359.0,254.05017499997726,9.94414585734248
-14.72,486.0,-848.9331000000232,-368.0668999999768,254.0,10.652806687133232
-14.68,486.8478692307681,-840.6839749999606,-364.93310000001435,253.61707499997493,11.10719972276904
-14.64,487.0,-844.3670749999874,-365.13379999998557,257.0,10.296511474244136
-14.6,487.8991512820508,-842.0669000000016,-359.3177750000079,256.9498249999988,10.20097523279867
-14.56,488.0,-839.0248250000382,-367.0,254.0,9.667953406496332
-14.52,488.0,-843.2891999999317,-371.0,252.71080000006828,8.66520130287517
-14.48,488.94917249999884,-840.5248250000262,-371.0,255.5248250000262,7.893497184531489
-14.44,489.97351025640944,-844.1920749999545,-371.0,254.77482500001955,8.804452006394746
-14.4,490.0,-849.966899999981,-367.0331000000189,254.0,8.88001014154137
-14.36,491.0,-846.0,-372.69207499998237,253.03310000001005,8.870051910359498
-14.32,491.0504333333334,-849.9337999999941,-363.13240000001184,251.59102500000813,9.784061484493662
-14.28,492.0,-842.0,-368.03310000002347,256.2251749999824,10.01294977108178
-14.24,492.0991512820499,-846.0,-367.0,250.36602500020646,9.78962654011913
-14.2,493.0,-842.2508749997518,-366.1331000000662,254.0,9.907335086574246
-14.16,493.15043333333256,-844.1331000000591,-369.1331000000591,254.0,10.59655482573752
-14.12,494.0,-843.1331000000503,-368.1331000000502,258.1331000000502,10.45368805690772
-14.08,494.2017153846153,-845.7670749999246,-374.1331000000431,260.76707499992455,10.663204743268688
-14.04,495.22735641025605,-839.0,-363.0,255.51707499994012,10.865663208357585
-14.0,496.0,-842.0,-366.73379999994575,251.86689999997287,10.457638120111366
-13.96,496.276074358973,-839.8420749999484,-370.6089749999189,254.9248250000221,9.62332195937869
-13.92,497.3017153846144,-846.0,-367.4079250001737,257.2331000000992,9.289148775340697
-13.879999999999999,498.3191724999996,-846.7668999999314,-372.65792500012,257.76689999993147,9.69337509468049
-13.84,499.32735641025573,-848.2331000000833,-372.6748250000624,257.90792500014567,9.57188245257947
