,AU807,AU805,AU802,AU806,AU812,AU803,AU808,AU813,AU814,AU811,AU804,AU810,AU809,AU801,AU815
-15.0,648.463164102589,501.38633076922997,556.5777897435887,509.0,498.0,499.2649692307667,505.0,504.94015897436253,486.68582750000195,502.65417249999825,485.0,504.0,515.740176923075,520.6273923076914,483.6453051282036
-14.96,634.3110333333528,502.40167249999865,558.9436076923008,509.0,498.0,501.3162512820494,504.8290538461551,502.88887692307975,486.0,503.0,484.9470025641034,504.3119717948702,517.5316358974325,527.8068794871757,484.0
-14.92,621.2101846153985,503.4119717948694,562.3607076922999,509.0,498.70940769230646,503.3675333333321,504.0,500.91879743589857,485.6521307692317,503.6965871794863,484.0,504.6623871794884,518.7914589743576,534.4188333333215,484.0
-14.88,608.9024923077027,504.0,566.0974538461492,509.79658717948547,499.0,505.4188153846148,504.0,499.89315641025723,485.0,504.0,484.0,504.35417249999927,519.817099999999,538.9258491048539,484.7203810741687
-14.84,596.5948000000056,504.0,569.1743769230733,509.17777179487314,499.76068974358924,508.2051461538465,504.0,498.86751538461584,485.0,504.0,484.0,505.0,520.0,541.3324846153836,485.0
-14.8,584.2871076923095,504.0,572.2512999999973,509.0,499.2136692307694,510.52137948717586,504.0,497.8458275000005,484.5752076923089,504.0,484.0,505.0,520.8683820512817,541.2837487179502,485.0
-14.76,572.3144641025726,504.0,575.7709641025618,509.0,499.0,512.5726615384572,504.0,497.0,484.0,503.2008487179506,484.1555615384601,505.0,521.0,538.8774825000037,485.79658717948536
-14.72,561.3931025641266,503.45982307692384,578.9367641025635,509.0,499.83761282051086,515.43591538461,504.0,496.8162333333351,484.0,503.0,485.18120256410145,505.0,521.0,535.0811666666784,486.0
-14.68,551.5230230769414,501.86836410256495,581.9760923076869,509.0,500.0,518.512838461534,504.0,496.2094076923063,484.0,502.1495666666685,486.20684358974285,505.0,521.0,529.5435538461658,486.847869230768
-14.64,542.2922538461694,500.40854102564106,585.0393282051232,509.0,500.0,521.583138107415,504.0,496.7649512820523,483.4752076923086,502.0,487.2324846153842,505.0,520.0290538461559,522.9546589743708,487.0
-14.6,533.4990974359085,499.3829000000015,587.635915384609,509.0,500.0,525.5453230769224,504.0,496.0,483.0,501.09828461538575,488.5162512820511,505.5170999999991,520.0,515.7751717948809,487.89915128205087
-14.56,525.2939692307779,497.0717769230839,590.1418923076887,509.0,500.0,529.5566899999924,504.0,496.0,483.0,501.0,490.56753333333205,506.0,518.9777717948731,508.10935384616175,488.0
-14.52,518.0666307692348,494.6632358974398,592.1931743589715,509.0,500.96581794871724,531.82394358974,504.4247923076902,496.0,482.39828461538616,500.04700256410297,492.6188153846107,506.0,517.9066550000017,499.90422564103085,488.0
-14.48,511.40746035806677,491.9179307692357,594.2412736572875,508.97264358974434,500.0085410256415,534.812838461534,505.0,496.3376128205121,482.0,500.0,495.34019487178665,506.0,515.9521307692308,492.2367102564128,488.94917249999884
-14.44,504.3307925000134,489.5606717948744,596.8875174999953,508.0,501.0,535.9632538461527,505.0,497.0,482.0,500.0,499.4427589743524,506.0,514.9264897435922,485.0572230769231,489.97351025640944
-14.4,497.7743230769314,487.5093897435918,599.2906102564059,508.0,501.0,536.9888948717941,505.0,497.7777897435857,481.3213615384633,500.0,503.5453230769178,506.0,513.9008487179509,478.4666307692391,490.0
-14.36,491.6204769230831,485.45810769230894,601.3418923076887,508.0,501.0427410256393,533.9563923076937,505.0,499.4145358974343,480.313327500001,500.0,508.059858974354,506.0,512.8752076923096,471.6982487179643,491.0
-14.32,485.46663076923505,484.2233275000021,602.0,508.0,502.0,530.8794692307698,505.0,500.4401769230756,480.7024782608695,500.05556153846044,512.7504512820485,506.0,511.69913333333653,465.79911538462494,491.0504333333334
-14.28,478.69824871795123,483.20341282051515,602.0,508.0,502.0,527.7367282051282,505.0,501.931635897434,480.27264358974526,501.08120256410183,517.3162692307675,506.0,509.82392564102685,460.00509230770143,492.0
-14.24,471.51876153846166,483.0,601.2521307692316,508.0,502.1196641025634,523.6341641025739,505.0,503.0,480.0,502.2131406649603,521.9555794871793,506.0,508.79828461538546,454.54270512821125,492.0991512820499
-14.2,465.005092307702,483.0,600.2264897435902,508.0,503.14530512820477,519.4145000000102,505.60427948717773,503.5170999999997,479.2213615384632,504.2598410256363,526.0581435897388,506.0,507.7726435897441,449.4145000000044,493.0
-14.16,457.46832820514624,482.12648974359104,597.6025461538467,508.0,503.8290538461539,514.4290358974429,505.37007948718093,503.4708275000012,479.0,506.15556153845955,531.1600349999885,506.0,506.7470025641028,445.0290358974383,493.15043333333256
-14.12,449.9803000000134,481.10084871794965,595.350415384615,508.0,503.1965871794869,510.494853846158,505.0,503.0,478.17007948718054,507.54360769230266,536.1607076923025,506.7991512820492,505.72136153846225,442.50165500000384,494.0
-14.08,443.54355384616355,480.07520769230837,591.5982666666745,508.0,504.0,507.22390769231197,505.0,503.0,477.1444384615392,510.2068435897422,540.829089743585,506.17520769230947,504.69572051282296,439.69485384616047,494.20171538461534
-14.04,436.6213256410347,478.09913333333384,588.371776923083,508.0,504.0,503.5606717948732,505.70684358974324,503.0,477.0,511.6974538461507,545.9572948717919,506.8504333333319,503.6700794871816,437.41195384615753,495.22735641025605
-14.0,430.23586153846725,478.0,584.3931384615452,508.3350487179463,504.0,501.50938974359053,505.2675153846155,502.3829000000003,476.0931564102565,514.5162512820499,550.4683999999987,507.0,502.64534782608854,436.18033589743743,496.0
-13.96,424.90167948718243,476.00169309463286,580.2905743589799,509.0,504.0,499.47165500000136,505.0,502.0,476.0,516.5675333333327,554.5643887467972,506.09828461538535,502.0,434.30938974359213,496.276074358973
-13.92,420.6187794871806,476.0,576.1880102564144,509.0,504.0,497.45810769231184,505.0,501.33161794871955,476.0,518.928223076923,557.9974538461481,506.927356410256,501.595720512821,433.1290538461547,497.3017153846144
-13.879999999999999,415.6452692307688,476.0,572.0854461538488,509.0,504.0,495.7034128205145,505.80940769230574,501.0,475.01623333333526,521.6700974358962,561.7658358974296,507.0,501.0,432.1034128205133,498.3191724999996
-13.84,412.310238461545,476.0,567.9833100000014,509.0,504.0,494.67777179487314,506.0,500.2803358974378,475.0,523.721379487175,565.1512999999964,507.0,501.0,432.0,499.32735641025573
-13.8,409.3024825000049,476.0,563.9828820512915,509.4376128205126,504.0,493.6521307692318,506.0,500.0,475.03248461538385,525.7726615384577,568.2282230769204,507.0,501.0,432.0,500.3529974358951
-13.76,407.15554358974606,476.0,559.9102384615446,509.53674615384733,504.0,492.6264897435904,506.0,500.0,476.0,527.4016724999987,571.3051461538445,507.0299205128185,500.5187974358989,431.0264897435921,501.0
-13.72,405.1042615384634,476.0,556.778322250646,509.4888948717924,504.0,492.0,506.0,500.0,476.0581256410233,528.8239435897423,573.5880461538455,508.05556153845987,500.0,431.0,501.0
-13.68,404.02648974359033,476.0,552.6854461538489,509.4854641025662,504.45043333333274,491.57520769230774,506.0,500.0,477.0,530.875225641025,574.8196641025642,509.0,500.0,431.0247923076905,501.0
-13.64,403.000848717949,476.178638461537,548.6871615384626,509.54017692307514,505.0,491.0,506.0,500.84786923076894,477.0,532.9265076923077,575.0,509.1016724999994,500.0,432.0,501.0
-13.6,402.0247923076924,477.2042794871783,545.6102384615386,509.43418205128347,505.5017153846154,491.0,506.0,502.74702051282077,477.0,534.4888948717938,573.258107692312,510.2085589743544,500.0,431.92392564102676,501.0
-13.56,402.94956666666917,478.22992051281966,542.6888769230773,509.0,506.0,491.5017153846134,506.0,503.89915128204905,477.16068974358876,536.0290717948674,571.2068256410294,512.1299205128184,500.0,431.2034307692292,500.49572051282166
-13.52,402.0760743589723,479.51112307692205,540.4563923076992,509.0,506.0,492.0,506.0,504.9016724999985,478.1863307692301,537.540176923075,568.3024825000026,513.4666846153796,500.0,433.0,500.0
-13.48,403.0,481.2812025641024,537.5863128205167,509.0,506.57863846153657,492.0,506.0,505.0,479.0,538.5658179487164,565.2333153846171,516.3624051282023,500.0,433.0,500.0
-13.44,403.0,482.92053076922855,535.767515384617,509.0,507.0,492.0,506.0,505.0,479.0,539.5914589743577,561.2085230769239,518.6205307692278,500.0,433.3008666666638,499.41879743589897
-13.4,403.1529974358962,485.33248461538216,534.4837487179512,509.0,507.0,492.0,506.0,505.0,479.2625805626575,540.617099999999,556.1324487179484,521.4649692307679,500.7119717948704,435.0,499.0
-13.36,404.35727692307535,486.71625128204715,532.7162333333342,509.0,507.6555615384607,492.0,506.0,505.0,480.2863307692292,541.0,550.005092307707,523.7743769230759,501.0,435.0,499.0
-13.32,406.204279487179,488.7675333333299,531.3811846153859,508.25725897436035,508.0,491.3608275000014,506.1427410256385,504.9726435897436,481.0,541.0,544.8760384615491,526.8512999999999,501.0,435.0,499.0
-13.28,407.2299205128204,490.8188153846126,529.6649512820516,508.76838205128104,508.7068435897434,491.0,507.1683820512799,503.947002564105,481.33761282051194,541.0,539.7478333333422,529.6188153846142,501.0,435.0,499.681202564101
-13.24,408.5098158567767,492.4350487179476,528.6393102564112,509.0,509.7324846153847,490.318797435899,508.0,502.9213615384637,482.0,540.2829000000019,534.6957025641084,531.6700974358929,501.0,435.27863846153787,499.3108275000017
-13.2,410.2716724999985,493.921379487178,527.6233275000022,509.0,510.0,490.0,508.43419999999827,501.79144102564453,482.38889487179466,540.0,530.4914230769284,533.3606897435878,501.0,435.69572051282285,499.0
-13.16,411.5572769230753,495.48633076923034,527.0,508.1803358974383,511.52834499999676,490.0,510.0,499.74015897436175,483.41453589743475,539.2316179487191,525.4905743589775,534.7726615384584,501.0,435.0,499.0
-13.120000000000001,413.6085589743579,496.5119717948717,526.5880282051295,508.0,512.7837666666654,490.0,510.2683820512818,497.8444384615396,483.5708275000022,539.0,521.5410076923091,536.4119717948705,501.0,435.3555615384598,499.0
